teff,ra_x,dec_x,parallax,pmra,pmdec,g_mag,b_mag,r_mag,br_col,L,B
4642.7,114.228707092,-50.71014689172,1.4246,-3.621,1.459,10.071869,10.749187,9.312169,0.677318,263.154637414194,-13.9934424741412
5103.5,323.16345421702,-52.0696591319,1.705,1.874,4.605,11.481661,11.96294,10.866173,0.481278999999999,344.92980110521,-45.5232465387294
5675.78,231.40941990585,56.15127860474,0.3445,-3.948,-2.844,16.352345,16.62167,15.921407,0.269325000000002,90.2230222385615,50.0307263006438
5865.78,202.90614461365,55.64216996986,0.4495,-0.319,-0.104,15.345218,15.639264,14.882769,0.294046000000002,111.371655586609,60.5749732857725
5629.6,180.35585923419,-19.67102322897,6.1472,26.208,-40.142,9.813281,10.183362,9.312272,0.370081000000001,287.096993295602,41.6577633863865
5919.83,175.32596802192,26.68116196079,0.7445,8.843,-11.863,14.708018,14.9885,14.255392,0.280482000000001,210.565157379131,74.3705667056676
5013.43,66.46654734087,46.51221664157,0.7619,3.028,-5.19,11.630054,12.4148,10.788698,0.784746,156.592532472491,-1.86681398289519
5883.89,65.9829174493,50.59074788298,1.4407,6.806,-11.301,13.564959,14.113649,12.861529,0.548690000000001,153.454938255018,0.75898896299461
5617.12,53.06360304855,37.18483200241,1.0091,6.391,-5.663,14.684248,15.465096,13.813464,0.780848000000001,155.17312082452,-15.4228900865961
5507.46,2.25141173985,48.04834836376,0.706,-7.2,-0.948,16.645647,17.132196,16.010733,0.486549,115.638226884347,-14.2215751586951
5577.29,201.71027856084,20.25304280553,1.8379,2.762,-2.915,13.541351,13.908384,13.022751,0.367032999999999,354.48233028004,79.3786683303025
4066.18,16.25970078174,45.65612438841,1.2097,7.656,-2.606,16.967447,17.756247,16.084883,0.788799999999998,125.418460756738,-17.1499502700213
5203.91,238.28963440392,18.98039661193,0.3924,-8.031,-6.731,12.349516,12.795398,11.753297,0.445882000000001,31.8147244726915,47.6396991531898
4871.34,207.57529836462,49.5819676972,3.5756,5.411,-21.976,13.165657,13.667706,12.454036,0.502049000000001,100.123039620089,64.8583699479407
4709.25,10.35097241695,45.18499994136,0.52,1.133,-2.506,13.79299,14.390731,13.077817,0.597741000000001,121.076796532248,-17.6506043337278
4708.99,31.96002857166,29.3492786877,0.3827,3.766,0.203,14.643724,15.218394,13.95055,0.574669999999999,142.291169442238,-30.6342149511069
6024.11,131.23296487878,10.06895503677,2.3273,-38.172,10.596,12.382883,12.662841,11.941285,0.279958000000001,216.745983756203,29.7452554380166
4611.6,77.78660533197,-70.70043038213,10.9812,-28.985,-20.551,10.958491,11.52744,10.271396,0.568949,281.839124448959,-33.7114145294661
7208.64,338.82846210251,52.8019027942,0.8144,-0.226,-2.07,13.653008,13.995612,13.148505,0.342604,103.085083122912,-4.74361639704993
5925.78,7.41586008375,3.27375891861,0.6142,-3.583,-7.085,15.409961,15.714833,14.938211,0.304872000000001,112.289274525247,-59.1473105581882
6232.03,126.35934183955,27.07334513604,1.6551,11.153,-5.848,12.042418,12.30881,11.623848,0.266392,196.349266182906,31.5690723046289
4992.03,85.40285807891,40.13172232489,0.4226,2.66,-1.523,14.216684,14.907393,13.41869,0.690709,170.012265430393,5.15084012138017
4478.46,62.51523642989,11.40151351458,0.4715,2.025,-0.422,13.386372,14.424073,12.381869,1.037701,181.01764851852,-28.3364902765243
4528.3,107.11474323312,-40.07475059603,0.778,-3.827,3.722,11.388416,12.064783,10.62473,0.676367000000001,251.05556722159,-14.0650988554684
5777.41,38.83141624516,38.56255193711,0.5513,1.567,-6.109,15.755137,16.121094,15.221816,0.365957,144.297453325369,-19.9609805409643
5409.16,54.09381392857,18.57594996035,1.447,5.581,-27.665,14.866667,15.367095,14.209253,0.500428000000001,168.686325483418,-29.2854888351139
5546.52,122.27196993208,-8.24207997567,3.6707,-3.802,1.895,12.542233,12.951401,11.987687,0.409168000000001,229.493141235423,13.1428248899776
5894.13,149.7305708924,37.28414814193,0.9025,2.242,-3.134,14.455579,14.742447,14.003426,0.286868,186.166464202274,52.467917687932
7083.95,118.66930185336,32.82383837771,1.2718,-1.268,-4.451,12.385263,12.582735,12.047138,0.197471999999999,187.874036353996,26.8033430506927
5649.37,125.4493493942,4.32339478722,2.2255,-9.733,-9.644,12.874238,13.228146,12.369487,0.353908000000001,219.596031055097,22.041304138835
4611.02,283.58165869865,35.72516177234,0.1832,-0.232,-2.848,14.099074,14.718208,13.359899,0.619134000000001,65.7908513289958,14.9005028343966
5010.23,116.99186165455,34.40332931628,0.9509,0.787,-4.632,16.367748,16.890402,15.704285,0.522654000000003,185.743445359139,25.9081374726354
4813.27,84.05793553456,38.04385889703,0.4177,-2.113,-11.516,13.660583,14.617628,12.692499,0.957044999999999,171.233058468143,3.1593159766453
6321.18,92.65796254189,27.00736315436,0.7987,2.313,-5.402,13.993061,14.46233,13.362984,0.469268999999999,184.431774214433,3.82030255470108
4067.26,89.9039030765,-2.51345763408,0.5831,4.217,-5.519,11.402306,12.767279,10.274823,1.364973,209.223640363647,-12.6700433104028
5569.5,252.26707134135,54.49246465892,0.1729,-7.172,-11.055,13.771103,14.142891,13.22997,0.371788,82.6396022667531,39.3651454881954
5310.06,115.46846482268,17.33918388355,0.408,-3.709,-1.93,15.628917,16.060759,15.037202,0.431842000000001,202.576187214606,18.7444797876728
6417.58,322.78864841404,18.00941703715,0.5991,-2.712,-0.409,14.507408,14.796319,14.052234,0.288911000000001,70.1292158455217,-23.7198526780133
6152.59,112.24281021405,33.14910653176,1.334,-0.877,-18.745,13.435315,13.729312,12.987256,0.293997000000001,185.738041350515,21.7667046161903
4608.34,103.56162357228,34.43789448048,1.6026,-0.902,-3.451,14.798438,15.410965,14.066789,0.612526999999998,181.770141186967,15.4774685811397
5505.5,106.76392666041,36.62820577589,2.1136,-5.397,-15.364,13.740787,14.151774,13.18575,0.410987,180.636521732886,18.7042570028094
